entry_id,pegawai_id,tanggal,unit,uraian_teks,target,realisasi,REL,DMP,BKT,JLS,KPT,WQI
E001,P001,2025-01-13,Bagian Umum,Mengembangkan dashboard realisasi anggaran menghasilkan 2 indikator baru,1,4,4,2,3,5,3,60
E002,P002,2025-01-14,Subbagian Keuangan,Memverifikasi draft SOP layanan baseline 2024 tercapai,1,5,2,3,5,4,4,65
E003,P003,2025-01-15,Subbagian Keuangan,Memverifikasi laporan kinerja triwulan akurasi 98%,2,1,3,2,2,3,4,45
E004,P004,2025-01-16,Bagian Perencanaan,Mengolah surat tugas dinas menghasilkan 2 indikator baru,4,5,4,4,3,3,4,65
E005,P005,2025-01-17,Bidang Statistik,Menyediakan surat tugas dinas akurasi 98%,4,3,4,3,3,3,5,65
E006,P006,2025-01-18,Bidang SDM,Menganalisis draft SOP layanan validasi atasan,5,3,3,3,1,4,4,50
E007,P007,2025-01-19,Bidang SDM,Mengembangkan surat tugas dinas tercapai 110% target,3,5,2,2,3,4,2,40
E008,P008,2025-01-20,Inspektorat,Menyediakan notulen rapat koordinasi validasi atasan,3,2,2,3,2,3,2,35
E009,P009,2025-01-21,Bagian Umum,Mengolah bahan presentasi pimpinan,4,5,4,3,3,3,3,55
E010,P010,2025-01-22,Bidang Statistik,Menyelesaikan bahan presentasi pimpinan baseline 2024 tercapai,4,5,5,3,2,3,3,55
E011,P011,2025-01-23,Bidang Statistik,Merekap notulen rapat koordinasi baseline 2024 tercapai,5,1,4,4,3,3,5,70
E012,P012,2025-01-24,Bagian Umum,Menyediakan bahan presentasi pimpinan menghasilkan 2 indikator baru,1,3,4,3,2,5,3,60
E013,P013,2025-01-25,Bagian Perencanaan,Menyusun draft SOP layanan menghasilkan 2 indikator baru,3,3,5,4,2,3,3,60
E014,P014,2025-01-26,Bagian Perencanaan,Mengembangkan berita acara kegiatan tercapai 110% target,3,3,5,3,3,2,3,55
E015,P015,2025-01-27,Bidang SDM,Menyediakan dashboard realisasi anggaran validasi atasan,1,3,3,3,1,3,5,50
E016,P001,2025-01-28,Bidang Statistik,Mengembangkan dashboard realisasi anggaran,2,2,4,4,3,3,4,65
E017,P002,2025-01-29,Subbagian Keuangan,Memverifikasi data survei kepuasan validasi atasan,5,3,4,5,4,3,3,70
E018,P003,2025-01-30,Bidang Statistik,Menyediakan surat tugas dinas menghasilkan 2 indikator baru,1,4,3,3,3,4,5,65
E019,P004,2025-01-31,Inspektorat,Mengembangkan draft SOP layanan baseline 2024 tercapai,3,1,4,4,3,3,4,65
